ranker,player,pos,age,team_id,g,gs,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,efg_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,height,weight,salary,re_rank,season,draft_team,exp,career_salary
1,Jeff Adrien,PF,25,HOU,8,0,63,7,16,.438,0,0,,7,16,.438,.438,7,12,.583,5,17,22,1,0,2,2,13,21,111,201,270427,53,2011/2012,,1,"$3,314,407"
8,Ray Allen,SG,36,BOS,46,42,1565,226,493,.458,106,234,.453,120,259,.463,.566,97,106,.915,14,128,142,109,49,8,68,83,655,92,196,10000000,,2011/2012,Minnesota Timberwolves,17,"$184,356,410"
7,Lavoy Allen,PF,22,PHI,41,15,624,79,167,.473,0,0,,79,167,.473,.473,11,14,.786,47,124,171,34,13,18,20,73,169,117,206,473604,,2011/2012,Philadelphia 76ers,0,"$15,181,767"
6,LaMarcus Aldridge,PF,26,POR,55,55,1994,483,943,.512,2,11,.182,481,932,.516,.513,223,274,.814,150,292,442,134,51,45,111,153,1191,113,211,12372000,12,2011/2012,Chicago Bulls,5,"$195,965,937"
5,Cole Aldrich,C,23,OKC,26,0,173,22,42,.524,0,0,,22,42,.524,.524,13,14,.929,13,35,48,3,8,16,9,22,57,113,211,2286000,22,2011/2012,New Orleans Hornets,1,"$25,254,344"
4,Solomon Alabi,C,23,TOR,14,0,122,13,36,.361,0,0,,13,36,.361,.361,7,8,.875,15,32,47,3,2,9,5,11,33,113,216,830000,24,2011/2012,Dallas Mavericks,1,"$1,600,000"
3,Blake Ahearn,PG,27,UTA,4,0,30,4,14,.286,2,9,.222,2,5,.400,.357,0,0,,0,2,2,1,0,0,5,4,10,86,188,,,2011/2012,,2,"$125,562"
2,Arron Afflalo,SG,26,DEN,62,62,2086,329,699,.471,88,221,.398,241,478,.504,.534,197,247,.798,40,157,197,149,36,13,85,134,943,95,196,7562500,26,2011/2012,Detroit Pistons,4,"$58,852,159"
15,James Anderson,SG,22,SAS,51,2,603,66,174,.379,19,68,.279,47,106,.443,.434,39,52,.750,16,63,79,41,8,2,30,35,190,96,198,1463520,28,2011/2012,San Antonio Spurs,1,"$5,374,616"
14,Alan Anderson,SF,29,TOR,17,12,461,55,142,.387,24,61,.393,31,81,.383,.472,29,34,.853,8,26,34,26,5,3,25,35,163,99,198,,30,2011/2012,,2,"$8,925,429"
13,Chris Andersen,C,33,DEN,32,1,486,59,108,.546,0,0,,59,108,.546,.546,50,82,.610,48,100,148,6,19,46,17,52,168,111,208,4234000,,2011/2012,,9,"$38,507,101"
12,Lou Amundson,PF,29,IND,60,0,753,89,207,.430,0,0,,89,207,.430,.430,35,82,.427,94,128,222,14,27,44,45,125,213,99,206,2403000,,2011/2012,,7,"$11,864,489"
478,Thaddeus Young,PF,23,PHI,63,1,1755,348,687,.507,1,4,.250,347,683,.508,.507,111,144,.771,137,188,325,74,64,41,55,127,808,106,203,7478261,6,2011/2012,Philadelphia 76ers,4,"$109,397,787"
