name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
Golden State Warriors,Oracle Arena,82,19830,3251,7047,0.461,685,1749,0.392,2566,5298,0.484,1290,1695,0.761,955,2370,3325,1847,737,406,1198,1806,8477,2010/2011,68415336,4561022.4,3.71,25.82,,0,0
New Jersey Nets,Prudential Center,82,20005,2918,6638,0.44,459,1337,0.343,2459,5301,0.464,1427,1881,0.759,909,2440,3349,1723,458,384,1152,1807,7722,2010/2011,58495989,3899732.6,4.36,25.82,,0,0
Cleveland Cavaliers,Quicken Loans Arena,82,19755,2886,6647,0.434,509,1489,0.342,2377,5158,0.461,1546,2075,0.745,856,2449,3305,1720,544,341,1166,1648,7827,2010/2011,53990021,3175883.59,3.74,26.21,,0,0
Indiana Pacers,Conseco Fieldhouse,82,19780,3003,6787,0.442,585,1653,0.354,2418,5134,0.471,1592,2035,0.782,914,2657,3571,1611,584,456,1262,1782,8183,2010/2011,65088630,4068039.38,4.13,26.13,,0,0
Sacramento Kings,Power Balance Pavilion,82,19855,3134,6979,0.449,428,1277,0.335,2706,5702,0.475,1455,1981,0.734,1071,2526,3597,1675,608,391,1324,1805,8151,2010/2011,45268465,2829279.06,2.62,24.75,,0,0
Detroit Pistons,The Palace of Auburn Hills,82,19880,3056,6647,0.46,472,1256,0.376,2584,5391,0.479,1367,1854,0.737,931,2236,3167,1730,595,328,1067,1629,7951,2010/2011,65517821,4367854.73,6,27.23,,0,0
Utah Jazz,EnergySolutions Arena,82,19880,3064,6590,0.465,435,1256,0.346,2629,5334,0.493,1590,2061,0.771,898,2338,3236,1921,629,484,1175,1865,8153,2010/2011,75855296,5418235.43,4.65,26.29,,0,0
Houston Rockets,Toyota Center,82,19880,3170,6975,0.454,677,1843,0.367,2493,5132,0.486,1668,2083,0.801,962,2549,3511,1955,581,371,1110,1641,8685,2010/2011,72315654,4821043.6,3.45,25.85,,0,0
Philadelphia 76ers,Wells Fargo Center,82,19930,3125,6776,0.461,443,1248,0.355,2682,5528,0.485,1426,1851,0.77,850,2578,3428,1861,621,355,1063,1592,8119,2010/2011,68915246,4922517.57,5.07,26.53,,0,0
Milwaukee Bucks,Bradley Center,82,19830,2814,6544,0.43,483,1414,0.342,2331,5130,0.454,1423,1881,0.757,862,2480,3342,1545,617,399,1103,1682,7534,2010/2011,69076690,4063334.71,5.47,27.29,,0,0
Phoenix Suns,US Airways Center,82,20005,3219,6844,0.47,701,1857,0.377,2518,4987,0.505,1472,1939,0.759,821,2478,3299,1945,545,357,1169,1666,8611,2010/2011,65979054,4123690.88,5.21,27.68,,0,0
Los Angeles Lakers,STAPLES Center,82,19830,3128,6757,0.463,524,1487,0.352,2604,5270,0.494,1541,1979,0.779,989,2616,3605,1801,602,422,1073,1555,8321,2010/2011,91428140,6530581.43,7.88,29.06,,0,0
Charlotte Bobcats,Time Warner Cable Arena,82,19805,2873,6365,0.451,393,1203,0.327,2480,5162,0.48,1511,1999,0.756,848,2444,3292,1728,524,433,1192,1637,7650,2010/2011,66542696,3696816.44,5.42,26.84,,0,0
Chicago Bulls,United Center,82,19830,3042,6587,0.462,511,1415,0.361,2531,5172,0.489,1492,2008,0.743,967,2654,3621,1827,592,468,1161,1639,8087,2010/2011,54538076,4195236.62,5.07,27.47,,0,0
Atlanta Hawks,Philips Arena,82,19730,2971,6429,0.462,502,1427,0.352,2469,5002,0.494,1346,1728,0.779,762,2460,3222,1802,497,341,1118,1554,7790,2010/2011,71469843,5104988.79,5.82,27.47,,0,0
