season,name,location,g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion,record
2015/2016,Cleveland Cavaliers," Cleveland, Ohio",82,19855,3171,6888,0.46,880,2428,0.362,2291,4460,0.514,1333,1783,0.748,873,2777,3650,1861,551,317,1114,1666,8555,105962520,7064168,6.78,28.83, 51; 1970-71 to 2020-21,22,1," 1881-2190, .462 W-L%"
2015/2016,Philadelphia 76ers," Philadelphia, Pennsylvania",82,19805,2970,6887,0.431,764,2255,0.339,2206,4632,0.476,1284,1850,0.694,777,2605,3382,1765,680,495,1343,1780,7988,63646397,2767234.65,2.78,24.33, 72; 1949-50 to 2020-21,50,3," 2924-2735, .517 W-L%"
2015/2016,Boston Celtics," Boston, Massachusetts",82,19780,3216,7318,0.439,717,2142,0.335,2499,5176,0.483,1520,1929,0.788,950,2733,3683,1981,752,348,1127,1796,8669,77202316,3509196.18,3.06,24.5, 75; 1946-47 to 2020-21,57,17," 3445-2387, .591 W-L%"
2015/2016,Utah Jazz," Salt Lake City, Utah",82,19955,2957,6593,0.449,694,1956,0.355,2263,4637,0.488,1402,1885,0.744,880,2665,3545,1555,631,425,1224,1655,8010,64783884,3084946.86,2.12,24.53, 47; 1974-75 to 2020-21,29,0," 2035-1715, .543 W-L%"
2015/2016,Phoenix Suns," Phoenix, Arizona",82,19705,3051,7018,0.435,738,2118,0.348,2313,4900,0.472,1431,1905,0.751,943,2733,3676,1701,632,313,1410,1858,8271,69701209,3168236.77,3.65,25.7, 53; 1968-69 to 2020-21,29,0," 2244-1998, .529 W-L%"
2015/2016,Minnesota Timberwolves," Minneapolis, Minnesota",82,19880,3095,6668,0.464,455,1347,0.338,2640,5321,0.496,1753,2213,0.792,821,2587,3408,1916,656,375,1231,1696,8398,72458417,4262259.82,5.06,27.06, 32; 1989-90 to 2020-21,9,0," 987-1525, .393 W-L%"
2015/2016,Toronto Raptors," Toronto, Canada",82,19780,3006,6669,0.451,708,1915,0.37,2298,4754,0.483,1702,2190,0.777,836,2724,3560,1536,636,449,1073,1610,8422,71934665,3596733.25,4.06,25.38, 26; 1995-96 to 2020-21,12,1," 972-1056, .479 W-L%"
2015/2016,Atlanta Hawks," Atlanta, Georgia",82,19830,3168,6923,0.458,815,2326,0.35,2353,4597,0.512,1282,1638,0.783,679,2772,3451,2100,747,486,1226,1570,8433,71453126,4465820.38,5.29,27.47, 72; 1949-50 to 2020-21,46,1," 2782-2873, .492 W-L%"
2015/2016,Charlotte Hornets," Charlotte, North Carolina",82,19855,3036,6922,0.439,873,2410,0.362,2163,4512,0.479,1534,1941,0.79,734,2869,3603,1778,595,438,1030,1487,8479,77609865,4850616.56,4.35,25.94, 31; 1988-89 to 2020-21,10,0," 1067-1363, .439 W-L%"
2015/2016,Los Angeles Lakers," Los Angeles, California",82,19730,2880,6956,0.414,639,2016,0.317,2241,4940,0.454,1583,2028,0.781,878,2645,3523,1478,593,337,1124,1662,7982,72415125,4023062.5,5.13,27.07, 73; 1948-49 to 2020-21,61,17," 3409-2314, .596 W-L%"
