g,mp,fg,fga,fg_pct,fg3,fg3a,fg3_pct,fg2,fg2a,fg2_pct,ft,fta,ft_pct,orb,drb,trb,ast,stl,blk,tov,pf,pts,season,name,location,total_salary,avg_player_salary,avg_team_exp,avg_team_age,seasons_played,play_off,champion
82,19855,3185,7238,.440,993,2854,.348,2192,4384,.500,1415,1893,.747,936,2752,3688,1845,569,331,1135,1811,8778,2018/2019,Detroit Pistons,Little Caesars Arena,125244035,6591791.32,4.75,26.45,,0,0
82,19805,3407,7233,.471,889,2474,.359,2518,4759,.529,1742,2258,.771,892,3025,3917,2207,606,432,1223,1745,9445,2018/2019,Philadelphia 76ers,Wells Fargo Center,112942947,5647147.35,4.12,25.85,,0,0
82,19830,3384,7178,.471,821,2118,.388,2563,5060,.507,1853,2340,.792,796,2936,3732,1970,561,385,1193,1913,9442,2018/2019,Los Angeles Clippers,STAPLES Center,118370702,4734828.08,4.73,27.14,,0,0
82,19755,3581,7563,.473,842,2449,.344,2739,5114,.536,1462,1921,.761,909,2969,3878,2216,610,441,1215,1732,9466,2018/2019,New Orleans Pelicans,Smoothie King Center,114806900,5466995.24,4.1,25.85,,0,0
82,19805,3612,7361,.491,1087,2824,.385,2525,4537,.557,1339,1672,.801,797,2990,3787,2413,625,525,1169,1757,9650,2018/2019,Golden State Warriors,Oracle Arena,146186409,8121467.17,5.82,27.41,,1,0
82,19780,3451,7423,.465,1032,2829,.365,2419,4594,.527,1282,1598,.802,804,2849,3653,2155,706,435,1052,1670,9216,2018/2019,Boston Celtics,TD Garden,125541941,6607470.58,3.76,25.59,,0,0
82,19830,3413,7483,.456,827,2357,.351,2586,5126,.504,1570,1995,.787,923,2750,3673,2018,683,411,1074,1664,9223,2018/2019,Minnesota Timberwolves,Target Center,121968101,5544004.59,4.62,26.9,,0,0
82,19780,3491,7425,.470,847,2541,.333,2644,4884,.541,1336,1910,.699,835,2985,3820,2096,618,440,1284,1701,9165,2018/2019,Los Angeles Lakers,STAPLES Center,107275731,5363786.55,4.41,25.95,,0,0
82,19730,3541,7637,.464,927,2455,.378,2614,5182,.504,1354,1865,.726,906,2819,3725,2083,679,363,1095,1751,9363,2018/2019,Sacramento Kings,Golden 1 Center,103537060,4501611.3,3.25,24.8,,0,0
82,19830,3297,7362,.448,977,2783,.351,2320,4579,.507,1510,1895,.797,814,2778,3592,1905,591,405,1001,1550,9081,2018/2019,Charlotte Hornets,Spectrum Center,122327044,7195708.47,5.0,25.76,,0,0
